"","province","region","site_name","site_id","date","waypoint_number","latitude","longitude","larva","nymphs","male","females","litter_depth","soil_humidity","canopy_cover","other_species"
"1","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",8,44.8669013977051,-77.0243988037109,NA,NA,NA,NA,2,10,100,NA
"2","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",16,44.8671989440918,-77.0226974487305,NA,NA,NA,NA,3,10,100,NA
"3","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",24,44.8675003051758,-77.0210037231445,NA,NA,NA,NA,1,20,100,NA
"4","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",32,44.8676986694336,-77.0193023681641,NA,NA,1,NA,1,20,100,NA
"5","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",40,44.8683013916016,-77.0175018310547,NA,NA,NA,NA,3,20,100,NA
"6","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",48,44.8669013977051,-77.0244979858398,NA,NA,NA,NA,2,50,100,NA
"7","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",56,44.8671989440918,-77.0225982666016,NA,NA,NA,1,1,60,100,NA
"8","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",64,44.8675994873047,-77.0205001831055,NA,NA,NA,NA,4,60,100,"1"
"9","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",72,44.8680000305176,-77.0184020996094,NA,NA,NA,NA,0.5,80,100,NA
"10","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",80,44.8689002990723,-77.015998840332,NA,NA,NA,NA,0.25,60,100,NA
"11","ON","Kingston","Channelview Park","KG2","18-06-2023",8,44.2807998657227,-76.3318023681641,NA,4,2,NA,5,20,98,NA
"12","ON","Kingston","Channelview Park","KG2","18-06-2023",16,44.2803001403809,-76.3329010009766,NA,3,1,1,4,30,100,NA
"13","ON","Kingston","Channelview Park","KG2","18-06-2023",24,44.280101776123,-76.3347015380859,NA,2,NA,1,3,15,100,"1"
"14","ON","Kingston","Channelview Park","KG2","18-06-2023",32,44.2804985046387,-76.334602355957,NA,3,NA,NA,4,30,90,NA
"15","ON","Kingston","Channelview Park","KG2","18-06-2023",40,44.2806015014648,-76.3326034545898,NA,1,1,1,3,20,100,NA
"16","ON","Kingston","Channelview Park","KG2","18-06-2023",48,44.2811012268066,-76.3314971923828,NA,NA,NA,1,0,20,100,NA
"17","ON","Kingston","Channelview Park","KG2","18-06-2023",56,44.2817993164062,-76.3336029052734,NA,NA,NA,NA,0,20,100,NA
"18","ON","Kingston","Channelview Park","KG2","18-06-2023",64,44.282901763916,-76.3314971923828,NA,NA,NA,NA,2,20,100,NA
"19","ON","Kingston","Channelview Park","KG2","18-06-2023",72,44.2812004089355,-76.3304977416992,NA,NA,NA,NA,1,30,100,NA
"20","ON","Kingston","Channelview Park","KG2","18-06-2023",80,44.2820014953613,-76.3287963867188,NA,NA,NA,NA,1,50,100,NA
"21","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",8,44.2855987548828,-76.5103988647461,NA,3,NA,3,0,5,0,NA
"22","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",16,44.2868003845215,-76.5105972290039,NA,2,NA,1,1,20,100,NA
"23","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",24,44.288200378418,-76.5105972290039,NA,NA,NA,1,3,30,50,NA
"24","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",32,44.2896003723145,-76.5101013183594,NA,6,4,1,1,25,84,NA
"25","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",40,44.2868995666504,-76.5094985961914,NA,1,NA,2,1,30,100,NA
"26","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",48,44.2858009338379,-76.5109024047852,NA,1,1,NA,1,30,100,NA
"27","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",56,44.2873992919922,-76.511100769043,NA,2,1,1,0,10,100,NA
"28","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",64,44.2890014648438,-76.5098037719727,NA,1,1,NA,1,40,100,NA
"29","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",72,44.2873992919922,-76.5098037719727,NA,NA,NA,1,2,1,100,NA
"30","ON","Kingston","Little Cataraqui Creek","KG3","18-06-2023",80,44.285400390625,-76.5098037719727,NA,NA,1,0,1,10,100,"Amblyomma americanum"
"31","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",8,44.5685005187988,-76.323600769043,8,5,NA,NA,3,10,100,NA
"32","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",16,44.5691986083984,-76.3218994140625,38,5,NA,NA,2,15,100,NA
"33","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",24,44.567699432373,-76.3225021362305,NA,NA,NA,NA,NA,NA,100,NA
"34","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",32,44.5667991638184,-76.3239974975586,NA,NA,NA,NA,NA,NA,100,NA
"35","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",40,44.567798614502,-76.3249969482422,NA,NA,NA,NA,NA,NA,100,NA
"36","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",48,44.5662002563477,-76.3262023925781,NA,2,NA,NA,4,40,100,"1"
"37","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",56,44.5672988891602,-76.3251037597656,NA,4,NA,1,1.5,20,100,NA
"38","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",64,44.5671005249023,-76.3255996704102,NA,1,NA,NA,3,10,100,NA
"39","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",72,44.5671997070312,-76.3256988525391,NA,NA,NA,NA,NA,NA,100,NA
"40","ON","Kingston","Lake Opinicon (QUBS)","KG4","19-06-2023",80,44.5671997070312,-76.3256988525391,NA,NA,NA,NA,NA,NA,100,NA
"41","ON","Kingston","Perth Road","KG5","18-06-2023",8,44.4715995788574,-76.4935989379883,NA,2,1,3,0,10,45,NA
"42","ON","Kingston","Perth Road","KG5","18-06-2023",16,44.4706001281738,-76.4960021972656,NA,4,NA,3,0,15,63,NA
"43","ON","Kingston","Perth Road","KG5","18-06-2023",24,44.469799041748,-76.4989013671875,NA,NA,NA,2,0,20,37,NA
"44","ON","Kingston","Perth Road","KG5","18-06-2023",32,44.4691009521484,-76.5024032592773,NA,NA,1,NA,0,10,87,NA
"45","ON","Kingston","Perth Road","KG5","18-06-2023",40,44.4682006835937,-76.5043029785156,NA,3,1,NA,0,15,10,NA
"46","ON","Kingston","Perth Road","KG5","18-06-2023",48,44.4715995788574,-76.4935989379883,NA,1,1,3,0,40,100,NA
"47","ON","Kingston","Perth Road","KG5","18-06-2023",56,44.4706001281738,-76.4957962036133,NA,NA,1,NA,1,10,100,NA
"48","ON","Kingston","Perth Road","KG5","18-06-2023",64,44.469898223877,-76.4983978271484,NA,NA,NA,NA,1,10,100,NA
"49","ON","Kingston","Perth Road","KG5","18-06-2023",72,44.4692993164062,-76.5017013549805,NA,NA,1,NA,2,10,100,NA
"50","ON","Kingston","Perth Road","KG5","18-06-2023",80,44.4684982299805,-76.5037994384766,NA,NA,NA,2,0,10,100,NA
"51","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",8,44.2164001464844,-76.6946029663086,NA,NA,NA,NA,0,30,100,NA
"52","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",16,44.2168998718262,-76.6970977783203,NA,NA,NA,NA,1,70,100,NA
"53","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",24,44.2187004089355,-76.6968002319336,NA,3,NA,NA,2,30,100,NA
"54","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",32,44.2202987670898,-76.6955032348633,NA,NA,NA,1,2,50,100,NA
"55","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",40,44.2220001220703,-76.6956024169922,NA,3,NA,1,3,50,100,NA
"56","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",48,44.2164993286133,-76.6947021484375,NA,NA,NA,1,1,70,100,NA
"57","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",56,44.2169990539551,-76.6970977783203,NA,NA,NA,1,0,90,100,NA
"58","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",64,44.2187995910645,-76.6967010498047,NA,1,NA,1,1.5,90,100,NA
"59","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",72,44.2205009460449,-76.6952972412109,NA,4,NA,NA,1,70,100,NA
"60","ON","Kingston","Parrot’s Bay","KG8","18-06-2023",80,44.2221984863281,-76.6959991455078,NA,1,NA,1,2.5,90,100,NA
"61","ON","Kingston","Amherst Island","KG9","19-06-2023",8,44.1370010375977,-76.7976989746094,NA,5,NA,NA,0,10,0,NA
"62","ON","Kingston","Amherst Island","KG9","19-06-2023",16,44.1355018615723,-76.7962036132812,NA,11,1,1,2,15,74,NA
"63","ON","Kingston","Amherst Island","KG9","19-06-2023",24,44.1338005065918,-76.7947006225586,NA,2,NA,NA,3,20,56,NA
"64","ON","Kingston","Amherst Island","KG9","19-06-2023",32,44.1320991516113,-76.7931976318359,NA,NA,NA,NA,1,20,100,NA
"65","ON","Kingston","Amherst Island","KG9","19-06-2023",40,44.1301002502441,-76.7939987182617,NA,NA,NA,NA,4,25,100,NA
"66","ON","Kingston","Amherst Island","KG9","19-06-2023",48,44.1367988586426,-76.7975006103516,NA,NA,NA,1,1,30,100,NA
"67","ON","Kingston","Amherst Island","KG9","19-06-2023",56,44.1351013183594,-76.7957992553711,NA,NA,NA,NA,0,20,100,NA
"68","ON","Kingston","Amherst Island","KG9","19-06-2023",64,44.13330078125,-76.7941970825195,NA,4,NA,1,3,30,100,NA
"69","ON","Kingston","Amherst Island","KG9","19-06-2023",72,44.1313018798828,-76.7929992675781,NA,4,NA,NA,1,30,100,NA
"70","ON","Kingston","Amherst Island","KG9","19-06-2023",80,44.1292991638184,-76.7925033569336,NA,2,NA,1,0,30,100,NA
"71","ON","Kingston","Wolfe Island","KG10","19-06-2023",8,44.1231002807617,-76.4495010375977,NA,NA,NA,NA,0,70,100,NA
"72","ON","Kingston","Wolfe Island","KG10","19-06-2023",16,44.1217994689941,-76.4481964111328,NA,NA,NA,NA,0,10,100,NA
"73","ON","Kingston","Wolfe Island","KG10","19-06-2023",24,44.1206016540527,-76.4470977783203,NA,NA,NA,NA,2,90,100,NA
"74","ON","Kingston","Wolfe Island","KG10","19-06-2023",32,44.1192016601562,-76.4477005004883,NA,NA,NA,NA,3,90,100,NA
"75","ON","Kingston","Wolfe Island","KG10","19-06-2023",40,44.1184005737305,-76.4495010375977,NA,NA,NA,NA,0,80,100,NA
"76","ON","Kingston","Wolfe Island","KG10","19-06-2023",48,44.1228981018066,-76.4494018554688,NA,NA,NA,NA,0,100,100,NA
"77","ON","Kingston","Wolfe Island","KG10","19-06-2023",56,44.1213989257812,-76.4478988647461,NA,NA,NA,NA,0.5,20,100,NA
"78","ON","Kingston","Wolfe Island","KG10","19-06-2023",64,44.1195983886719,-76.4475021362305,NA,NA,NA,NA,3.5,100,100,NA
"79","ON","Kingston","Wolfe Island","KG10","19-06-2023",72,44.1180000305176,-76.4497985839844,NA,NA,NA,NA,1,100,100,NA
"80","ON","Kingston","Wolfe Island","KG10","19-06-2023",80,44.1162986755371,-76.4503021240234,NA,NA,NA,NA,0,80,100,NA
"81","ON","Kingston","Arrowhead Beach Park","KG10","18-06-2023",8,44.2333984375,-76.4520034790039,NA,1,NA,NA,6,20,93,NA
"82","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",16,44.2322998046875,-76.4535980224609,NA,3,NA,NA,7,30,100,NA
"83","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",24,44.2313995361328,-76.4550018310547,NA,5,1,NA,2,10,78,NA
"84","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",32,44.2318000793457,-76.4543991088867,NA,6,2,1,3,15,100,NA
"85","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",40,44.2327003479004,-76.4527969360352,NA,1,NA,NA,5,20,23,NA
"86","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",48,44.2336006164551,-76.4524002075195,NA,3,NA,1,1,60,100,NA
"87","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",56,44.2324981689453,-76.4533004760742,NA,NA,NA,NA,1,20,100,NA
"88","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",64,44.2313003540039,-76.4552001953125,NA,3,NA,1,2,40,100,NA
"89","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",72,44.2304000854492,-76.4572982788086,NA,NA,NA,NA,1,70,100,NA
"90","ON","Kingston","Arrowhead Beach Park","KG11","18-06-2023",80,44.2295989990234,-76.4580993652344,NA,NA,1,2,0,40,100,NA
"91","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",8,44.223201751709,-76.5380020141602,NA,NA,NA,NA,0,50,100,NA
"92","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",16,44.2244987487793,-76.5385971069336,NA,NA,NA,NA,1,60,100,NA
"93","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",24,44.2261009216309,-76.5380020141602,NA,NA,NA,NA,1,55,100,NA
"94","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",32,44.2279014587402,-76.5376968383789,NA,NA,NA,NA,1,85,100,NA
"95","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",40,44.2299995422363,-76.5378036499023,NA,NA,NA,NA,2,40,100,NA
"96","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",48,44.2235984802246,-76.5376968383789,NA,NA,NA,NA,0,65,100,NA
"97","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",56,44.225700378418,-76.5380020141602,NA,NA,NA,NA,0,30,100,NA
"98","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",64,44.2276992797852,-76.5376968383789,NA,1,NA,NA,0,20,100,NA
"99","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",72,44.2289009094238,-76.5382995605469,NA,1,1,NA,0.5,80,100,NA
"100","ON","Kingston","Marshlands Conservation Area","KG14","18-06-2023",80,44.2282981872559,-76.5376968383789,NA,NA,NA,NA,3,90,100,NA
"101","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",8,45.3809013366699,-75.8121032714844,NA,NA,NA,NA,0,10,82,NA
"102","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",16,45.3818016052246,-75.8137969970703,NA,NA,NA,NA,0.5,40,28,NA
"103","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",24,45.3827018737793,-75.8154983520508,NA,NA,NA,NA,0,10,55,NA
"104","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",32,45.3838996887207,-75.8165969848633,NA,NA,NA,NA,0,10,48,NA
"105","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",40,45.3842010498047,-75.818603515625,NA,NA,NA,NA,1,40,58,NA
"106","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",48,45.3838996887207,-75.8167037963867,NA,NA,NA,NA,2,20,100,NA
"107","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",56,45.3827018737793,-75.8154983520508,NA,NA,NA,NA,1,20,100,NA
"108","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",64,45.3818016052246,-75.8137969970703,NA,NA,NA,NA,0,10,100,NA
"109","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",72,45.3809013366699,-75.8121032714844,NA,NA,NA,NA,2,60,100,NA
"110","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","22-06-2023",80,45.380298614502,-75.8099975585938,1,NA,NA,NA,1,20,100,NA
"111","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",8,45.4258003234863,-75.7540969848633,NA,NA,NA,1,0,10,100,NA
"112","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",16,45.4268989562988,-75.7530975341797,NA,NA,NA,NA,1,20,100,NA
"113","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",24,45.4275016784668,-75.7510986328125,NA,NA,NA,NA,2,20,100,NA
"114","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",32,45.4268989562988,-75.7530975341797,NA,NA,NA,NA,5,10,100,NA
"115","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",40,45.4276008605957,-75.753303527832,NA,1,NA,NA,3,10,100,NA
"116","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",48,45.4289016723633,-75.7525024414062,NA,NA,NA,NA,2,40,100,NA
"117","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",56,45.4273986816406,-75.753303527832,NA,NA,NA,NA,3,20,100,NA
"118","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",64,45.4268989562988,-75.7537994384766,NA,1,NA,NA,4,10,100,NA
"119","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",72,45.4254989624023,-75.7539978027344,NA,1,NA,NA,2,30,100,NA
"120","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","22-06-2023",80,45.4244003295898,-75.7539978027344,NA,NA,NA,NA,4,30,100,NA
"121","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",8,45.5069007873535,-75.8159027099609,NA,NA,NA,1,0,10,100,NA
"122","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",16,45.5080986022949,-75.8162994384766,NA,1,NA,NA,0,10,100,NA
"123","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",24,45.5094985961914,-75.8175964355469,NA,1,NA,NA,2,65,100,NA
"124","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",32,45.5102005004883,-75.815803527832,NA,2,1,NA,1,45,100,NA
"125","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",40,45.5102996826172,-75.8135986328125,NA,NA,NA,NA,5,35,100,NA
"126","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",48,45.5070991516113,-75.8159027099609,NA,NA,NA,NA,3,10,100,NA
"127","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",56,45.5082015991211,-75.8165969848633,NA,NA,NA,NA,2,10,100,NA
"128","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",64,45.5097999572754,-75.8175964355469,NA,1,NA,NA,3,10,100,NA
"129","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",72,45.5102996826172,-75.8153991699219,NA,NA,NA,NA,3,35,100,NA
"130","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","21-06-2023",80,45.5099983215332,-75.8135986328125,NA,NA,NA,NA,2,60,100,NA
